Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type;Cell name;Stat default value;Main group dflt values;Sg1 dflt vals;Sg2 dflt vals;Sg3 dflt vals;Sg4 dflt vals
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;Vpip;64.81397;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;Pfr;49.358974;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_F;28.622381;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_T;28.234453;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_R;31.243244;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;WentToSd;28.829353;;;;;
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General;WonOnSd;52.121212;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;Vpip;27.921078;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;Pfr;20.696146;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_F;28.654991;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_T;31.193563;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;AggFq_R;31.225546;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;WentToSd;26.825008;;;;;
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General;WonOnSd;50.628292;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Unopened_Fold;50.908348;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Unopened_Call;0.042962357;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Unopened_Raise;49.04869;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Fold;66.57874;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Call;2.3739333;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Raise;31.047323;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Ep_Fold;65.15385;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Ep_Call;3.7692308;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Ep_Raise;31.076923;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Mp_Fold;65.84362;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Mp_Call;1.6918153;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Mp_Raise;32.46456;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Co_Fold;66.6797;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Co_Call;1.2905749;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Co_Raise;32.029724;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Multi_Fold;74.56359;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Multi_Call;8.478803;;;;;
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn;Btn_Limp_Vs_Multi_Raise;16.957605;;;;;
