Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
Hu;Any;Any;Any;Any;Any;Any;Any;Any;General
SixMax;Any;Any;Any;Any;Any;Any;Any;Any;General
SixMax;Any;Btn;Any;Any;Any;Any;Any;Any;PreflopBtn
SixMax;Any;Sb;Any;Any;Any;Any;Any;Any;PreflopSb
SixMax;Any;Bb;Any;Any;Any;Any;Any;Any;PreflopBb
SixMax;Any;Ep;Any;Any;Any;Any;Any;Any;PreflopEp
SixMax;Any;Mp;Any;Any;Any;Any;Any;Any;PreflopMp
SixMax;Any;Co;Any;Any;Any;Any;Any;Any;PreflopCo
Hu;Any;Sb;Any;Any;Any;Any;Any;Any;PreflopSbvsBb
Hu;Any;Bb;Any;Any;Any;Any;Any;Any;PreflopBbvsSb
SixMax;Postflop;Btn;Ip;Bb;Hu;LimpPot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Btn;Any;Any;Multiway;LimpPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Btn;Ip;Sb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Btn;Ip;Bb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Btn;Any;Any;Multiway;RaisePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;IsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;IsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Btn;Ip;Ep;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Btn;Ip;Mp;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Btn;Ip;Co;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Btn;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral
