PanelType;Cell type;Cell data;Name;Description;Connected cell 1 name;Connected cell 2 name
General;ValueCell;;Hands;Total hands played;;
General;StatsCell;;Vpip;Voluntarily put in the pot;;
General;StatsCell;;Pfr;Preflop raise;;
General;StatsCell;;AggFq_F;Aggression frequency flop;;
General;StatsCell;;AggFq_T;Aggression frequency turn;;
General;StatsCell;;AggFq_R;Aggression frequency river;;
General;StatsCell;;WentToSd;Went to showdown when saw flop;;
General;StatsCell;;WonOnSd;Won at showdown;;
General;EvCell;;EvBb;EvBb/100 hands;;
PreflopBtn;StatsCell;PreflopData;Btn_Unopened_Fold;BTN fold unopened pot;Btn_Unopened_Call;Btn_Unopened_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Unopened_Call;BTN call unopened pot;Btn_Unopened_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Unopened_Raise;BTN raise unopened pot;Btn_Unopened_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Fold;BTN fold limp pot;Btn_Limp_Call;Btn_Limp_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Call;BTN call limp pot;Btn_Limp_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Raise;BTN raise limp pot;Btn_Limp_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Ep_Fold;BTN fold limp pot vs EP;Btn_Limp_Vs_Ep_Call;Btn_Limp_Vs_Ep_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Ep_Call;BTN call limp pot vs EP;Btn_Limp_Vs_Ep_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Ep_Raise;BTN raise limp pot vs EP;Btn_Limp_Vs_Ep_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Mp_Fold;BTN fold limp pot vs MP;Btn_Limp_Vs_Mp_Call;Btn_Limp_Vs_Mp_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Mp_Call;BTN call limp pot vs MP;Btn_Limp_Vs_Mp_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Mp_Raise;BTN raise limp pot vs MP;Btn_Limp_Vs_Mp_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Co_Fold;BTN fold limp pot vs CO;Btn_Limp_Vs_Co_Call;Btn_Limp_Vs_Co_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Co_Call;BTN call limp pot vs CO;Btn_Limp_Vs_Co_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Co_Raise;BTN raise limp pot vs CO;Btn_Limp_Vs_Co_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Multi_Fold;BTN fold limp pot multiway;Btn_Limp_Vs_Multi_Call;Btn_Limp_Vs_Multi_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Multi_Call;BTN call limp pot multiway;Btn_Limp_Vs_Multi_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Limp_Vs_Multi_Raise;BTN raise limp pot multiway;Btn_Limp_Vs_Multi_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Raise_Fold;BTN fold raise pot;Btn_Raise_Call;Btn_Raise_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Raise_Call;BTN call raise pot;Btn_Raise_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Raise_Raise;BTN raise raise pot;Btn_Raise_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Raise_Vs_Ep_Fold;BTN fold raise pot vs EP;Btn_Raise_Vs_Ep_Call;Btn_Raise_Vs_Ep_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Raise_Vs_Ep_Call;BTN call raise pot vs EP;Btn_Raise_Vs_Ep_Raise;
