Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Set type
Hu;Any;Any;Any;Any;Any;Any;Any;General
SixMax;Any;Any;Any;Any;Any;Any;Any;General
SixMax;Any;Btn;Any;Any;Any;Any;Any;PreflopBtn
SixMax;Any;Sb;Any;Any;Any;Any;Any;PreflopSb
SixMax;Any;Bb;Any;Any;Any;Any;Any;PreflopBb
SixMax;Any;Ep;Any;Any;Any;Any;Any;PreflopEp
SixMax;Any;Mp;Any;Any;Any;Any;Any;PreflopMp
SixMax;Any;Co;Any;Any;Any;Any;Any;PreflopCo
Hu;Any;Sb;Any;Any;Any;Any;Any;PreflopSbvsBb
Hu;Any;Bb;Any;Any;Any;Any;Any;PreflopBbvsSb
SixMax;Postflop;Btn;Ip;Bb;Hu;LimpPot;Call;PostflopHuIp
SixMax;Postflop;Btn;Any;Any;Multiway;LimpPot;Call;PostflopGeneral
SixMax;Postflop;Btn;Ip;Sb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Btn;Ip;Bb;Hu;RaisePot;Raise;PostflopHuIp
SixMax;Postflop;Btn;Any;Any;Multiway;RaisePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Ip;Ep;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Btn;Ip;Mp;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Btn;Ip;Co;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Btn;Any;Any;Multiway;RaisePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Ip;Ep;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Btn;Ip;Mp;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Btn;Ip;Co;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Btn;Any;Any;Hu;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;SqueezePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;SqueezePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;ThreeBetPot;Call;PostflopGeneral
